"UserID","Username","GlobalRank","PP","RME","RMERanking","Location"
16814497,"Marslam",41909,6176.07,1446.89090735836,8740,"Netherlands"
13882595,"HappyStarS",150710,4012,1446.88806905791,8741,"China"
11118720,"36R",3260,10434.1,1446.86271530813,8742,"Japan"
11322604,"Sayuka",51862,5828.72,1446.8614303004,8743,"Germany"
12718783,"DrHyper03",12071,8226.84,1446.83084609271,8744,"Türkiye"
4689079,"samonji100",94651,4837.83,1446.79773875897,8745,"Indonesia"
13084480,"smoff",79778,5121.13,1446.73288343069,8746,"South Africa"
18642868,"derpy12006",160650,3888.7,1446.70274675776,8747,"Singapore"
17584396,"Lurumic",37306,6367.6,1446.64295213238,8748,"United Kingdom"
3499649,"andrea74877",18698,7495.62,1446.6275181806,8749,"Italy"
7461207,"Gingah",10370,8477.77,1446.61317189209,8750,"United States"
16991491,"miku fan club",48095,5954.39,1446.60484537261,8751,"United States"
16708227,"Goodeu",27419,6871.67,1446.5413391405,8752,"United Kingdom"
14741322,"SnowVortex",18873,7478.81,1446.53849288932,8753,"United States"
11342558,"DudiDadi",119267,4441.95,1446.51539716612,8754,"Japan"
4650995,"Viven",385805,2285.67,1446.50166123853,8755,"United States"
12513194,"Makayoshi",70488,5326.02,1446.46267245868,8756,"Russian Federation"
23523074,"ktanauva1337",90156,4919.03,1446.43879876553,8757,"Russian Federation"
14754071,"thecrazypudding",25212,7008.39,1446.43181249157,8758,"Israel"
19397079,"Anzu",75313,5218.23,1446.41676162668,8759,"Canada"
20164146,"noobzexe",3426,10348.3,1446.38432950709,8760,"Poland"
16619382,"Kwazi_Universe",40261,6244.16,1446.32006824158,8761,"Russian Federation"
15400543,"SweetLemonGreg",221898,3289.88,1446.29112565483,8762,"Hong Kong"
8880119,"Tacozz",102458,4702.65,1446.2863116399,8763,"United States"
11430617,"LynaR",12043,8230.81,1446.24669187206,8764,"Russian Federation"
23989515,"rinakuf",331626,2552.14,1446.24429394221,8765,"Russian Federation"
20755155,"Lucerman",30863,6679.4,1446.2354185835,8766,"Germany"
20405106,"UnicorNic",129936,4287.99,1446.22831707862,8767,"Ukraine"
10574233,"Arr1w",25925,6961.14,1446.18413604404,8768,"Ukraine"
13610756,"Wesleyyy",70030,5336.75,1446.18015714856,8769,"Canada"
2676427,"Mikako",45316,6049.75,1446.10998979987,8770,"China"
16429613,"Phoenix4137",270184,2922.83,1446.09175523215,8771,"United States"
14981497,"Pocketbeans",100305,4739.8,1446.03499622375,8772,"United States"
8402350,"Wellensittich",40546,6231.55,1446.01302749782,8773,"Germany"
10905488,"HydraBoy54",694988,1298.62,1445.90266920105,8774,"Philippines"
14744799,"wonderleif",392945,2252.47,1445.89205184639,8775,"Germany"
29709943,"SLAYER228",47285,5981.66,1445.88403554585,8776,"Russian Federation"
